run,pair,open_date,close_date,is_short,leverage,stake_amount,max_stake_amount,open_rate,close_rate,amount,profit_abs,profit_ratio,fee_open,fee_close,funding_fees,initial_stop_loss_ratio,trade_duration,exit_reason,is_open,entry_orders
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-03-18 01:35:00+00:00,2026-03-18 02:00:00+00:00,False,1.0,2467.92627,2467.92627,74111.9,74036.8,0.0333,-5.9541762,-0.002410935555285241,0.0007,0.0007,0.0,-0.02,25,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-03-19 14:20:00+00:00,2026-03-19 14:55:00+00:00,True,1.0,2470.52964,2470.52964,69396.9,69469.1,0.0356,-6.03086072,-0.002442830550171334,0.0007,0.0007,0.0,-0.02,35,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-03-21 18:40:00+00:00,2026-03-21 19:05:00+00:00,False,1.0,2465.925,2465.925,70455.0,70400.7,0.035,-5.35146465,-0.002168647158826164,0.0007,0.0007,0.0,-0.02,25,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-03-23 06:40:00+00:00,2026-03-23 08:05:00+00:00,True,1.0,2464.496,2464.496,68080.0,68414.0,0.0362,-15.54955796,-0.006313846837321966,0.0007,0.0007,0.0,-0.02,85,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-03-25 16:35:00+00:00,2026-03-25 17:00:00+00:00,False,1.0,2462.7825,2462.7825,71385.0,71290.0,0.0345,-6.72310125,-0.0027279706474851928,0.0007,0.0007,0.0,-0.02,25,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-03-28 01:25:00+00:00,2026-03-28 01:30:00+00:00,True,1.0,2464.70088,2464.70088,66255.4,66185.0,0.0372,-0.82986802,-0.0003369371680242894,0.0007,0.0007,0.0,-0.02,5,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-03-31 14:55:00+00:00,2026-03-31 15:10:00+00:00,True,1.0,2462.5757,2462.5757,66556.1,66898.2,0.037,-16.11416637,-0.006548206492873113,0.0007,0.0007,0.0,-0.02,15,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-01 03:20:00+00:00,2026-04-01 03:30:00+00:00,False,1.0,2460.13028,2460.13028,67959.4,67936.2,0.0362,-4.2834345,-0.0017399233805067895,0.0007,0.0007,0.0,-0.02,10,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-03 09:10:00+00:00,2026-04-03 09:20:00+00:00,True,1.0,2453.85742,2453.85742,66862.6,66866.9,0.0367,-3.59332086,-0.0014653817769748798,0.0007,0.0007,0.0,-0.02,10,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-03 12:45:00+00:00,2026-04-03 13:00:00+00:00,True,1.0,2452.92524,2452.92524,66837.2,66697.4,0.0367,1.70015613,0.0006935992362127863,0.0007,0.0007,0.0,-0.02,15,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-07 19:00:00+00:00,2026-04-07 19:05:00+00:00,True,1.0,2456.04106,2456.04106,68413.4,68418.4,0.0359,-3.61808313,-0.0014741681730246012,0.0007,0.0007,0.0,-0.02,5,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-11 01:50:00+00:00,2026-04-11 01:55:00+00:00,False,1.0,2458.20606,2458.20606,72943.8,72917.5,0.0337,-4.32717807,-0.0017590678155699735,0.0007,0.0007,0.0,-0.02,5,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-12 16:20:00+00:00,2026-04-12 16:35:00+00:00,True,1.0,2451.237,2451.237,70845.0,70901.9,0.0346,-5.40184992,-0.0022052677336808287,0.0007,0.0007,0.0,-0.02,15,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-12 16:50:00+00:00,2026-04-12 17:05:00+00:00,True,1.0,2450.63842,2450.63842,70827.7,70933.5,0.0346,-7.09413626,-0.0028968392791066094,0.0007,0.0007,0.0,-0.02,15,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-14 00:40:00+00:00,2026-04-14 01:00:00+00:00,False,1.0,2453.8668,2453.8668,74359.6,74138.1,0.033,-10.73979687,-0.004373621368124094,0.0007,0.0007,0.0,-0.02,20,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-15 08:30:00+00:00,2026-04-15 08:40:00+00:00,False,1.0,2448.17199,2448.17199,73962.9,74065.1,0.0331,-0.04698876,-1.91799804377251e-05,0.0007,0.0007,0.0,-0.02,10,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-16 13:55:00+00:00,2026-04-16 15:15:00+00:00,True,1.0,2451.2093,2451.2093,73389.5,74270.1,0.0334,-32.86432145,-0.013416782724271187,0.0007,0.0007,0.0,-0.02,80,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-22 07:45:00+00:00,2026-04-22 08:50:00+00:00,False,1.0,2442.3703,2442.3703,78031.0,77921.8,0.0313,-6.83488585,-0.002796506646292063,0.0007,0.0007,0.0,-0.02,65,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-23 00:45:00+00:00,2026-04-23 04:50:00+00:00,False,1.0,2438.04718,2438.04718,78393.8,77832.0,0.0311,-20.87301567,-0.008555377824827098,0.0007,0.0007,0.0,-0.02,245,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-25 11:30:00+00:00,2026-04-25 12:15:00+00:00,True,1.0,2429.93481,2429.93481,77633.7,77650.5,0.0313,-3.92811682,-0.0016176847262414952,0.0007,0.0007,0.0,-0.02,45,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-25 19:30:00+00:00,2026-04-25 20:05:00+00:00,True,1.0,2432.3166,2432.3166,77216.4,77280.0,0.0315,-5.41004562,-0.0022257938397958962,0.0007,0.0007,0.0,-0.02,35,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-28 01:35:00+00:00,2026-04-28 01:40:00+00:00,True,1.0,2427.59475,2427.59475,77066.5,77157.2,0.0315,-6.25768259,-0.00257953517003831,0.0007,0.0007,0.0,-0.02,5,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-28 21:45:00+00:00,2026-04-28 21:55:00+00:00,True,1.0,2425.81848,2425.81848,76283.6,76265.4,0.0318,-2.81698074,-0.0011620630443071997,0.0007,0.0007,0.0,-0.02,10,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-04-29 18:10:00+00:00,2026-04-29 19:05:00+00:00,True,1.0,2429.54964,2429.54964,74986.1,75484.6,0.0324,-19.56407548,-0.008058193009774504,0.0007,0.0007,0.0,-0.02,55,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-05-02 17:40:00+00:00,2026-05-02 18:00:00+00:00,False,1.0,2423.58897,2423.58897,78433.3,78359.3,0.0309,-5.67802394,-0.002341177556822901,0.0007,0.0007,0.0,-0.02,20,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-05-03 04:30:00+00:00,2026-05-03 04:35:00+00:00,False,1.0,2423.5211,2423.5211,78178.1,78167.6,0.031,-3.71820169,-0.0015331414979062393,0.0007,0.0007,0.0,-0.02,5,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-05-03 22:05:00+00:00,2026-05-03 23:50:00+00:00,False,1.0,2419.65828,2419.65828,79073.8,78546.1,0.0306,-19.52383826,-0.008063196896219062,0.0007,0.0007,0.0,-0.02,105,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-05-05 07:05:00+00:00,2026-05-05 08:00:00+00:00,False,1.0,2419.19106,2419.19106,80909.4,80821.8,0.0299,-6.00427402,-0.0024801984710633995,0.0007,0.0007,0.0,-0.02,55,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-05-07 02:00:00+00:00,2026-05-07 03:05:00+00:00,True,1.0,2417.73658,2417.73658,81132.1,81021.2,0.0298,-0.07769784,-3.2159114119293606e-05,0.0007,0.0007,0.0,-0.02,65,exit_signal,False,1
btc-freinforced-5m-risk_early_base,BTC/USDT:USDT,2026-05-08 12:55:00+00:00,2026-05-08 13:10:00+00:00,True,1.0,2418.2952,2418.2952,80076.0,79861.8,0.0302,3.08775491,0.00127772566909811,0.0007,0.0007,0.0,-0.02,15,exit_signal,False,1
