open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base,taker_buy_quote,ignore,timestamp
1598616000000,1945.95,2049.69,1945.95,1980.0,80.381393,1598630399999,158548.08930845,631,37.55896900,73996.10036841,0,1598616000
1598630400000,1980.0,1990.0,1970.0,1978.8,15.873531,1598644799999,31426.02459490,161,5.18304400,10275.20213512,0,1598630400
1598644800000,1975.24,1981.98,1958.0,1977.99,9.153347,1598659199999,18061.03598698,104,5.01718500,9923.82394428,0,1598644800
1598659200000,1966.91,1989.91,1966.9,1971.0,26.481835,1598673599999,52413.57873701,168,15.71317700,31121.80812095,0,1598659200
1598673600000,1971.0,1975.15,1940.01,1973.59,48.682059,1598687999999,95360.10917445,211,25.26976700,49693.81885643,0,1598673600
1598688000000,1968.2,1977.6,1964.0,1970.0,12.559412,1598702399999,24743.87695532,118,6.18427100,12198.42321004,0,1598688000
1598702400000,1975.65,1976.02,1962.02,1973.75,22.133528,1598716799999,43631.66475906,217,10.51885400,20744.73457470,0,1598702400
1598716800000,1967.17,1979.89,1967.16,1969.16,13.506147,1598731199999,26652.84010641,145,7.92542300,15648.77026314,0,1598716800
1598731200000,1976.0,1979.0,1962.53,1964.34,68.472888,1598745599999,134764.62700028,221,56.39644300,110981.64318622,0,1598731200
1598745600000,1972.16,1980.3,1972.16,1979.99,26.260829,1598759999999,51915.21623473,121,11.34380500,22434.21578425,0,1598745600
1598760000000,1975.0,1980.3,1964.82,1968.82,23.13555,1598774399999,45604.24392836,220,14.55663900,28707.89373173,0,1598760000
1598774400000,1968.82,1968.83,1962.59,1968.0,25.044381,1598788799999,49283.22519959,135,19.28359500,37965.58348330,0,1598774400
1598788800000,1968.78,1968.83,1946.75,1968.56,109.22876,1598803199999,214251.14230188,273,78.26876400,153529.25436286,0,1598788800
1598803200000,1968.56,1985.0,1961.49,1977.92,52.888852,1598817599999,104571.52891645,295,22.01542100,43512.06717608,0,1598803200
1598817600000,1977.01,1985.0,1972.72,1982.1,24.333658,1598831999999,48130.81049377,158,8.01372800,15877.24401871,0,1598817600
1598832000000,1982.1,1982.11,1973.88,1982.11,8.159102,1598846399999,16158.89901830,90,5.64555500,11189.42864344,0,1598832000
1598846400000,1982.11,1983.65,1968.32,1973.88,25.619298,1598860799999,50620.23894485,159,3.13385200,6192.58114556,0,1598846400
1598860800000,1968.32,1977.01,1964.39,1975.99,23.29264,1598875199999,45859.92522437,143,16.24271200,31998.08073382,0,1598860800
1598875200000,1975.68,1976.08,1964.39,1974.86,22.040207,1598889599999,43437.84579103,232,10.06906000,19863.39000504,0,1598875200
1598889600000,1974.98,1981.0,1966.0,1973.8,27.231294,1598903999999,53773.54486417,145,23.20692100,45825.32410763,0,1598889600
1598904000000,1973.8,1982.0,1968.0,1971.48,25.308996,1598918399999,50045.77380155,192,14.04583600,27804.67040353,0,1598904000
1598918400000,1971.48,2001.59,1967.31,1995.04,20.938234,1598932799999,41551.31426489,278,11.23155800,22283.25544627,0,1598918400
1598932800000,1995.05,2004.45,1977.92,1997.07,50.378319,1598947199999,100629.44572763,316,31.34249200,62640.36007572,0,1598932800
1598947200000,1997.07,2007.5,1980.0,1992.61,58.333486,1598961599999,116546.50540221,320,32.77038900,65552.95913815,0,1598947200
1598961600000,1990.34,1997.07,1979.95,1985.99,31.443063,1598975999999,62473.08843677,324,16.32151900,32446.51377981,0,1598961600
1598976000000,1984.45,1984.45,1975.73,1975.74,18.151558,1598990399999,35912.39127836,128,4.27264000,8455.93313138,0,1598976000
1598990400000,1975.73,1986.0,1971.51,1981.25,21.439438,1599004799999,42410.18033013,187,3.83127000,7601.82195222,0,1598990400
1599004800000,1982.84,1988.75,1971.51,1979.12,11.440985,1599019199999,22616.62122141,153,2.36747100,4698.96089453,0,1599004800
1599019200000,1973.81,1983.8,1968.32,1968.32,21.4234,1599033599999,42252.02411345,187,9.28878100,18332.69887777,0,1599019200
1599033600000,1968.32,1986.78,1967.3,1973.34,23.60089,1599047999999,46638.61443874,358,10.98814100,21781.08557075,0,1599033600
1599048000000,1967.32,1982.96,1945.81,1951.0,118.815899,1599062399999,232980.58769200,540,18.95068500,37295.14714908,0,1599048000
1599062400000,1951.0,1957.69,1932.71,1943.75,30.621999,1599076799999,59431.09755638,363,13.58117600,26361.27260496,0,1599062400
1599076800000,1937.5,1957.64,1929.06,1957.64,9.316638,1599091199999,18104.33352130,166,6.58768600,12802.17183053,0,1599076800
1599091200000,1952.0,1964.87,1947.0,1947.16,20.812114,1599105599999,40735.77468102,156,2.93268100,5750.58676671,0,1599091200
1599105600000,1951.0,1954.34,1935.55,1945.61,11.443032,1599119999999,22250.60290969,204,1.95147900,3799.47354935,0,1599105600
1599120000000,1950.49,1953.72,1929.0,1944.3,19.762362,1599134399999,38385.25252176,247,10.10128100,19650.22939488,0,1599120000
1599134400000,1942.0,1962.0,1925.0,1925.0,75.552229,1599148799999,146903.06720282,796,43.44343900,84521.37463896,0,1599134400
1599148800000,1934.98,1949.0,1915.5,1938.0,23.971065,1599163199999,46408.08961060,442,14.59208200,28321.82120682,0,1599148800
1599163200000,1940.33,1950.0,1920.0,1925.0,53.120466,1599177599999,103029.79436420,516,35.77768000,69559.32258969,0,1599163200
1599177600000,1931.25,1971.32,1920.01,1943.84,88.426483,1599191999999,172803.49505745,783,53.77334300,105338.74192743,0,1599177600
1599192000000,1943.75,1970.27,1925.25,1955.51,76.374971,1599206399999,148564.15950407,858,56.14591700,109268.17476166,0,1599192000
1599206400000,1956.25,1971.32,1932.21,1949.39,52.239947,1599220799999,102141.59436770,1156,23.12550400,45261.68777159,0,1599206400
1599220800000,1949.38,1968.0,1900.91,1944.92,62.424445,1599235199999,120842.14885046,1391,35.35154000,68632.99126354,0,1599220800
1599235200000,1944.53,1971.32,1916.71,1971.32,55.530086,1599249599999,108795.37013750,698,48.08836300,94346.90001507,0,1599235200
1599249600000,1962.51,1965.0,1928.01,1930.13,25.985554,1599263999999,50454.05350026,552,15.33374800,29815.02154387,0,1599249600
1599264000000,1937.5,1944.42,1910.0,1939.45,19.49633,1599278399999,37532.36332819,342,4.60978200,8938.59048271,0,1599264000
1599278400000,1931.74,1944.43,1929.01,1933.3,5.949746,1599292799999,11557.97385230,132,5.16070900,10031.94677278,0,1599278400
1599292800000,1933.3,1943.72,1924.66,1941.37,11.49808,1599307199999,22273.31150021,268,6.12567300,11887.42342785,0,1599292800
1599307200000,1941.36,1954.44,1926.67,1942.66,49.789588,1599321599999,96689.26972197,698,32.34998200,62904.20780295,0,1599307200
1599321600000,1938.75,1957.0,1930.37,1953.91,47.896811,1599335999999,93244.58314519,782,32.93839300,64213.01317705,0,1599321600
1599336000000,1953.0,1965.0,1931.0,1938.0,53.532767,1599350399999,104296.53167987,928,28.87190600,56340.07353474,0,1599336000
1599350400000,1938.0,1955.0,1923.0,1944.5,32.444355,1599364799999,63031.64179870,500,16.84832900,32783.97903709,0,1599350400
1599364800000,1944.51,1954.0,1931.8,1949.99,30.943833,1599379199999,60129.94766866,514,16.17833600,31504.00117511,0,1599364800
1599379200000,1949.99,1962.0,1937.66,1940.7,28.338306,1599393599999,55259.92721175,1020,20.31448200,39659.47242499,0,1599379200
1599393600000,1940.73,1948.43,1930.0,1935.99,33.600777,1599407999999,64940.91743317,376,16.03367500,30979.40916519,0,1599393600
1599408000000,1931.18,1949.0,1929.68,1931.6,25.500222,1599422399999,49415.39099437,218,12.78417000,24786.69791675,0,1599408000
1599422400000,1936.0,1937.0,1922.19,1933.0,16.768722,1599436799999,32424.52483627,239,13.04618900,25251.71950605,0,1599422400
1599436800000,1935.97,1942.21,1926.6,1932.87,40.458041,1599451199999,78337.75924375,179,37.23408400,72094.65130797,0,1599436800
1599451200000,1932.87,1941.37,1919.57,1936.45,7.338122,1599465599999,14187.72118747,249,3.83303100,7424.95260332,0,1599451200
1599465600000,1936.45,1936.53,1917.52,1922.2,17.022053,1599479999999,32812.95390274,323,8.94214900,17253.95723204,0,1599465600
1599480000000,1929.98,1940.56,1916.11,1936.3,52.448249,1599494399999,101009.20013723,841,26.23577600,50573.27367395,0,1599480000
1599494400000,1936.3,1942.2,1926.67,1930.0,20.173806,1599508799999,39075.29270733,213,12.82754600,24880.95936158,0,1599494400
1599508800000,1930.13,1940.74,1929.02,1939.45,12.26396,1599523199999,23740.98645727,175,10.04421600,19450.92558435,0,1599508800
1599523200000,1936.98,1939.44,1929.07,1930.0,5.673673,1599537599999,10968.63609156,108,1.27787900,2471.05342350,0,1599523200
1599537600000,1930.0,1937.98,1927.0,1937.98,4.040899,1599551999999,7804.41600421,93,1.84088700,3557.76392235,0,1599537600
1599552000000,1937.98,1939.4,1915.76,1923.42,28.992931,1599566399999,55884.93022785,428,2.90601900,5614.09180428,0,1599552000
1599566400000,1923.42,1934.0,1902.96,1933.0,17.744755,1599580799999,34081.39111804,368,11.09801400,21367.06471295,0,1599566400
1599580800000,1925.35,1948.0,1923.33,1932.01,10.621444,1599595199999,20599.12965957,252,8.30194700,16109.40828167,0,1599580800
1599595200000,1940.0,1948.35,1932.03,1934.92,19.645397,1599609599999,38167.82803746,228,5.06430900,9839.13665075,0,1599595200
1599609600000,1941.4,1941.53,1929.68,1937.5,4.145057,1599623999999,8013.05003801,145,0.46577700,902.15918821,0,1599609600
1599624000000,1929.19,1942.66,1929.18,1939.8,7.918916,1599638399999,15334.83427163,223,6.10075000,11821.38578252,0,1599624000
1599638400000,1939.97,1940.57,1930.13,1930.13,11.839811,1599652799999,22916.00219399,104,2.99110300,5800.40301983,0,1599638400
1599652800000,1930.13,1951.08,1928.53,1949.0,12.847725,1599667199999,24999.58256690,230,7.33612000,14270.93331776,0,1599652800
1599667200000,1949.0,1958.59,1938.55,1957.0,12.883077,1599681599999,25103.39768325,313,7.26269200,14162.71995258,0,1599667200
1599681600000,1950.0,1958.23,1946.66,1954.08,10.407004,1599695999999,20305.87105877,85,4.45138800,8701.11755725,0,1599681600
1599696000000,1954.08,1958.23,1944.44,1948.0,9.441285,1599710399999,18448.11990890,143,8.76326700,17125.62872696,0,1599696000
1599710400000,1948.06,1958.43,1943.15,1943.15,6.076838,1599724799999,11854.98890625,208,2.94525200,5761.39175875,0,1599710400
1599724800000,1949.95,1953.78,1939.01,1948.0,22.425538,1599739199999,43549.18100518,246,14.98852000,29107.49379627,0,1599724800
1599739200000,1948.0,1967.99,1941.32,1953.36,24.517149,1599753599999,48023.93349778,515,19.52860200,38265.44737255,0,1599739200
1599753600000,1953.42,1963.07,1950.58,1955.0,8.480258,1599767999999,16590.72291040,200,3.52916300,6912.05115767,0,1599753600
1599768000000,1960.21,1960.61,1946.17,1955.49,5.454267,1599782399999,10673.89667799,126,1.94851400,3818.23999792,0,1599768000
1599782400000,1953.53,1956.1,1942.4,1944.51,4.139182,1599796799999,8062.50465274,164,0.79622100,1553.16587743,0,1599782400
1599796800000,1944.51,1950.99,1942.0,1949.77,4.548423,1599811199999,8855.88951957,78,3.04103600,5927.21062486,0,1599796800
1599811200000,1949.77,1952.3,1943.0,1952.3,6.798656,1599825599999,13245.55760218,77,4.67102500,9109.48608700,0,1599811200
1599825600000,1953.27,1958.0,1946.8,1957.99,7.874093,1599839999999,15397.47312982,138,4.43985500,8680.40101726,0,1599825600
1599840000000,1950.0,1958.0,1946.66,1948.0,5.524751,1599854399999,10781.35707742,81,2.33147700,4558.16403065,0,1599840000
1599854400000,1955.13,1955.75,1936.72,1947.69,18.590509,1599868799999,36162.22449981,229,10.07749700,19609.12382635,0,1599854400
1599868800000,1945.87,1958.0,1943.15,1947.57,11.06224,1599883199999,21590.99533472,185,7.91439300,15461.38603222,0,1599868800
1599883200000,1947.58,1955.45,1945.0,1945.01,8.044214,1599897599999,15652.12968682,181,1.65064300,3215.58511262,0,1599883200
1599897600000,1948.44,1954.79,1945.01,1948.0,4.892962,1599911999999,9546.54547937,72,2.52533900,4934.69259517,0,1599897600
1599912000000,1948.02,1954.78,1948.0,1948.0,18.415344,1599926399999,35914.59192824,99,0.49910100,975.58011397,0,1599912000
1599926400000,1948.0,1956.01,1944.01,1946.47,42.592877,1599940799999,83110.30935687,118,4.64430000,9075.92838083,0,1599926400
1599940800000,1946.47,1954.89,1943.75,1950.0,14.832812,1599955199999,28875.20331705,89,11.51410900,22416.57695716,0,1599940800
1599955200000,1949.99,1969.0,1949.29,1957.53,50.898222,1599969599999,99964.74280281,533,48.73467400,95735.33571682,0,1599955200
1599969600000,1957.54,1957.54,1951.0,1951.01,1.558044,1599983999999,3043.80504887,39,0.41101100,804.00087756,0,1599969600
1599984000000,1951.05,1956.15,1948.0,1956.07,6.699535,1599998399999,13065.40559363,129,1.22908800,2398.80194698,0,1599984000
1599998400000,1955.92,1969.0,1948.01,1955.4,22.234486,1600012799999,43540.08075278,257,15.73765500,30871.41315943,0,1599998400
1600012800000,1950.02,1950.02,1944.8,1948.19,17.283392,1600027199999,33665.32768768,235,14.10883500,27485.15337886,0,1600012800
1600027200000,1945.01,1948.2,1945.0,1948.2,5.723754,1600041599999,11135.00928304,53,0.82986600,1616.39290317,0,1600027200
1600041600000,1945.0,1955.5,1945.0,1955.5,7.407944,1600055999999,14433.61280552,84,3.35571900,6548.71292690,0,1600041600
1600056000000,1952.5,1955.0,1945.81,1954.0,1.491946,1600070399999,2908.67278009,47,0.70104500,1369.10081598,0,1600056000
1600070400000,1954.0,1958.69,1945.65,1950.01,11.522114,1600084799999,22501.41704435,195,9.63550900,18828.43984769,0,1600070400
1600084800000,1952.01,1968.0,1948.0,1966.99,12.062956,1600099199999,23645.65655328,299,8.70359700,17072.02328767,0,1600084800
